timestamp,coin,price
2025-09-03 19:11:00,TOSHI-USD,0.0005841
2025-09-03 19:11:00,DOGE-USD,0.22046
2025-09-03 19:11:01,CRO-USD,0.27755
2025-09-03 19:11:01,VET-USD,0.023955
2025-09-03 19:11:01,PENGU-USD,0.030635
2025-09-03 19:11:02,TURBO-USD,0.003882
2025-09-03 19:11:02,XRP-USD,2.84415
2025-09-03 19:11:11,BTC-USD,111646.835
2025-09-03 19:11:12,ETH-USD,4448.065
2025-09-03 19:11:12,SOL-USD,211.285
2025-09-03 19:11:13,TOSHI-USD,0.00058375
2025-09-03 19:11:13,DOGE-USD,0.22042
2025-09-03 19:11:13,CRO-USD,0.27755
2025-09-03 19:11:14,VET-USD,0.023945
2025-09-03 19:11:14,PENGU-USD,0.030635
2025-09-03 19:11:14,TURBO-USD,0.003882
2025-09-03 19:11:15,XRP-USD,2.84415
