Loan_SubType,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Loan_SubType_Cat,Loan_Type_Cat,Loan_Status_Cat,Borrower_Type_Cat
Auto Refinance,Refinance,31344.9,31582.2,31582.2,APPROVED,P,TX,0.0,CAR,31325.0,0,2 YR USED,1.tov-Vehicle T2,66,5.0,1.0,30.726,554.66,24,2.0,0,5,0,0
Other Secured Loan,Refinance,3.0,328.0,328.0,APPROVED,P,TX,637.0,CAR,9075.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,5.0,1.0,34.484,120.24,293,24.42,3,5,0,0
Auto Refinance,Refinance,2825.65,28233.65,0.0,DECLINED,P,TX,702.0,CAR,29200.0,0,3 YR USED,1.tov-Vehicle T2,66,2.0,898.57,35.727,0.0,12,1.0,0,5,1,0
Auto Refinance,Refinance,11532.95,11565.95,11565.95,APPROVED,P,TX,717.0,CAR,24275.0,0,6-10 YR USED,1.tov-Vehicle T2,36,7.0,519.96,6.638,373.96,337,28.08,0,5,0,0
Auto Refinance,Refinance,19.0,18459.95,18459.95,APPROVED,P,TX,700.0,CAR,23225.0,0,3 YR USED,1.tov-Vehicle T2,66,3.0,1.0,47.714,328.39,204,17.0,0,5,0,0
Auto Refinance,Refinance,3.0,263.78,263.78,APPROVED,P,TX,691.0,CAR,2450.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,18,5.0,1.0,27.654,162.88,156,13.0,0,5,0,0
Auto Refinance,Refinance,9.0,8689.76,8689.76,APPROVED,P,TX,649.0,CAR,12275.0,0,6-10 YR USED,1.tov-Vehicle T3,36,1.0,645.62,40.163,287.45,12,1.0,0,5,0,0
Auto Refinance,Refinance,35.0,51644.45,51644.45,APPROVED,P,TX,769.0,CAR,47004.0,0,4 YR USED,1.tov-Vehicle T1,54,6.0,2.0,46.151,1084.53,111,9.25,0,5,0,0
Auto Refinance,Refinance,1524.22,15273.22,15273.22,APPROVED,P,TX,694.0,CAR,21675.0,0,4 YR USED,1.tov-Vehicle T3,54,3.0,875.25,25.248,337.8,65,5.42,0,5,0,0
Used Vehicle Loan,Dealer Purchase,26.0,24992.16,24992.16,APPROVED,P,KS,674.0,CAR,25900.0,0,6-10 YR USED,1.tov-Vehicle T3,36,6.0,2.0,33.677,825.15,114,9.5,5,1,0,0
Auto Refinance,Refinance,18.0,1968.19,18998.83,APPROVED,P,AZ,685.0,CAR,24425.0,0,3 YR USED,1.tov-Vehicle T3,66,3.0,1.0,31.485,353.81,12,1.0,0,5,0,0
