Loan_SubType,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Loan_SubType_Cat,Loan_Type_Cat,Loan_Status_Cat,Borrower_Type_Cat
New Vehicle Loan,Dealer Purchase,32159.96,32159.96,32159.96,APPROVED,P,TX,813.0,CAR,26695.0,0,72 MO NEW,1.tov-Vehicle T1,72,4.0,2.0,49.367,509.62,204,17.0,2,1,0,0
Auto Refinance,Private Party Purchase,4.0,483.1,483.1,APPROVED,P,AZ,631.0,CAR,9300.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,5.0,1.0,32.424,191.33,39,3.25,0,3,0,0
Auto Refinance,Refinance,53.0,53974.34,53974.34,APPROVED,P,TX,642.0,CAR,46575.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,2.0,1.0,41.292,917.69,36,3.0,0,5,0,0
Auto Refinance,Refinance,1.0,1396.32,1396.32,APPROVED,P,TX,663.0,CAR,18125.0,0,6-10 YR USED,1.tov-Vehicle T3,36,2.0,1.0,47.367,343.73,12,1.0,0,5,0,0
Auto Refinance,Refinance,63.0,6295.89,6295.89,APPROVED,P,TX,776.0,CAR,51425.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T1,72,5.0,2.0,42.884,1007.62,84,7.0,0,5,0,0
Auto Refinance,Refinance,42.0,4725.85,4725.85,APPROVED,P,TX,719.0,CAR,49375.0,0,3 YR USED,1.tov-Vehicle T2,66,8.0,2.0,32.094,839.05,248,20.67,0,5,0,0
Used Vehicle Loan,Refinance,13.0,12634.25,12634.25,APPROVED,P,TX,695.0,CAR,18500.0,0,6-10 YR USED,1.tov-Vehicle T3,36,2.0,540.72,22.037,417.3,24,2.0,5,5,0,0
Auto Refinance,Refinance,145.0,15992.61,15992.61,APPROVED,P,TX,734.0,CAR,28825.0,0,3 YR USED,1.tov-Vehicle T2,66,11.0,542.11,4.892,284.56,30,2.5,0,5,0,0
Auto Refinance,Refinance,3.0,2454.23,2454.23,APPROVED,P,TX,712.0,CAR,29350.0,0,60 MO NEW,1.tov-Vehicle T2,66,1.0,426.5,41.408,426.94,12,1.0,0,5,0,0
Auto Refinance,Refinance,9.0,8874.76,8874.76,APPROVED,P,TX,787.0,CAR,15350.0,0,5 YR USED,1.tov-Vehicle T4,48,4.0,1.0,42.489,234.84,36,3.0,0,5,0,0
Other Secured Loan,Refinance,1.0,6.0,6.0,APPROVED,P,TX,758.0,CAR,15050.0,0,TOKEN COLLATERAL,1.tov-Vehicle T1,30,3.0,1.0,41.286,234.22,120,10.0,3,5,0,0
Auto Refinance,Refinance,31.0,31156.16,31156.16,APPROVED,P,TX,629.0,CAR,33275.0,0,2 YR USED,1.tov-Vehicle T3,66,2.0,602.5,22.486,572.96,61,5.08,0,5,0,0
Auto Refinance,Refinance,18.0,18588.41,18588.41,APPROVED,P,TX,621.0,CAR,23300.0,0,4 YR USED,1.tov-Vehicle T3,54,8.0,1.0,23.942,411.0,12,1.0,0,5,0,0
Auto Refinance,Refinance,26.0,1683.82,1683.82,APPROVED,P,TX,620.0,CAR,30150.0,0,4 YR USED,1.tov-Vehicle T3,54,3.0,372.7,10.569,373.26,145,12.08,0,5,0,0
Auto Refinance,Refinance,1423.28,143.24,143.24,APPROVED,P,TX,746.0,CAR,25025.0,0,6-10 YR USED,1.tov-Vehicle T2,25,4.0,1.0,21.781,465.67,87,7.25,0,5,0,0
Auto Refinance,Refinance,59545.0,679.2,679.2,APPROVED,P,TX,639.0,CAR,52950.0,0,3 YR USED,1.tov-Vehicle T3,66,5.0,1.0,31.657,1125.0,96,8.0,0,5,0,0
Used Vehicle Loan,Dealer Purchase,499.0,5337.9,5337.9,APPROVED,P,TX,731.0,CAR,45650.0,0,3 YR USED,1.tov-Vehicle T2,66,16.0,3.0,19.9,900.77,456,38.0,5,1,0,0
Auto Refinance,Refinance,15.0,1533.0,1533.0,APPROVED,P,TX,725.0,CAR,22775.0,0,4 YR USED,1.tov-Vehicle T2,54,3.0,831.95,22.084,321.49,12,1.0,0,5,0,0
Auto Refinance,Refinance,28411.12,28411.12,28411.12,APPROVED,P,TX,675.0,CAR,26725.0,0,3 YR USED,1.tov-Vehicle T3,66,8.0,1.0,20.116,526.03,24,2.0,0,5,0,0
Auto Refinance,Refinance,15858.9,16984.32,16984.32,APPROVED,P,TX,664.0,CAR,22250.0,0,6-10 yr USED,1.tov-Vehicle T3,36,3.0,1.0,36.592,561.02,12,1.0,0,5,0,0
Auto Refinance,Refinance,13832.43,13865.43,13865.43,APPROVED,P,TX,0.0,CAR,28885.0,0,60 MO NEW,1.tov-Vehicle T1,66,2.0,238.03,9.521,238.46,600,50.0,0,5,0,0
Auto Refinance,Refinance,13677.9,13852.51,13852.51,APPROVED,P,TX,649.0,CAR,16150.0,0,6-10 YR USED,1.tov-Vehicle T3,36,2.0,1.0,40.902,457.73,13,1.08,0,5,0,0
Auto Refinance,Refinance,1377.38,13796.29,13796.29,APPROVED,P,TX,742.0,CAR,22025.0,0,3 YR USED,1.tov-Vehicle T2,60,7.0,1.0,25.025,266.47,180,15.0,0,5,0,0
Auto Refinance,Refinance,26113.1,2525.0,2525.0,APPROVED,P,TX,742.0,CAR,25025.0,0,5 YR USED,1.tov-Vehicle T2,48,6.0,2.0,34.67,608.21,241,20.08,0,5,0,0
Auto Refinance,Refinance,27987.5,2827.6,2827.6,APPROVED,P,TX,634.0,CAR,29400.0,0,3 YR USED,1.tov-Vehicle T3,66,4.0,2.0,49.267,522.26,1,0.08,0,5,0,0
Auto Refinance,Refinance,2315.8,189.0,189.0,APPROVED,P,AZ,726.0,CAR,17250.0,0,3 YR USED,1.tov-Vehicle T4,66,2.0,791.52,29.682,374.01,14,1.17,0,5,0,0
Auto Refinance,Refinance,15997.0,1662.55,1662.55,APPROVED,P,TX,717.0,CAR,21275.0,0,5 YR USED,1.tov-Vehicle T2,48,3.0,758.0,21.865,390.6,25,2.08,0,5,0,0
Other Secured Loan,Refinance,6.0,633.0,633.0,APPROVED,P,TX,697.0,CAR,4575.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,2.0,975.01,38.038,242.06,12,1.0,3,5,0,0
Auto Refinance,Refinance,3.0,26524.83,26524.83,APPROVED,P,TX,684.0,CAR,34625.0,0,2 YR USED,1.tov-Vehicle T3,66,3.0,590.79,16.238,485.24,12,1.0,0,5,0,0
Auto Refinance,Refinance,2.0,18594.52,18594.52,APPROVED,P,TX,663.0,CAR,27725.0,0,2 YR USED,1.tov-Vehicle T3,66,12.0,1.0,15.974,340.31,243,20.25,0,5,0,0
Auto Refinance,Refinance,239.0,23987.92,23987.92,APPROVED,P,TX,632.0,CAR,27875.0,0,2 YR USED,1.tov-Vehicle T3,66,4.0,2.0,47.671,438.88,12,1.0,0,5,0,0
Auto Refinance,Refinance,56.0,573.92,573.92,APPROVED,P,TX,771.0,CAR,54500.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T1,72,15.0,3.0,23.473,912.47,36,3.0,0,5,0,0
Auto Refinance,Refinance,223.0,22251.26,22251.26,APPROVED,P,TX,710.0,CAR,23225.0,0,3 YR USED,1.tov-Vehicle T2,66,6.0,1.0,24.119,397.89,33,2.75,0,5,0,0
Auto Refinance,Refinance,22.0,22298.79,22298.79,APPROVED,P,TX,697.0,CAR,26000.0,0,4 YR USED,1.tov-Vehicle T4,54,3.0,545.25,18.177,520.91,27,2.25,0,5,0,0
Auto Refinance,Refinance,375.0,37659.35,37659.35,APPROVED,P,TX,775.0,CAR,37700.0,0,4 YR USED,1.tov-Vehicle T2,54,1.0,876.65,50.211,808.19,289,24.08,0,5,0,0
Auto Refinance,Refinance,25141.28,25179.68,25179.68,APPROVED,P,TX,683.0,CAR,37975.0,0,2 yr USED,1.tov-Vehicle T3,66,3.0,973.2,24.554,460.66,60,5.0,0,5,0,0
Auto Refinance,Refinance,56.0,532.0,532.0,APPROVED,P,TX,686.0,CAR,45550.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,3.0,1.0,47.573,904.53,12,1.0,0,5,0,0
Auto Refinance,Refinance,18125.49,1823.17,1823.17,APPROVED,P,TX,712.0,CAR,22350.0,0,2 YR USED,1.tov-Vehicle T2,66,7.0,2.0,32.608,320.35,13,1.08,0,5,0,0
Used Vehicle Loan,Dealer Purchase,2.0,3343.64,43417.89,APPROVED,P,TX,686.0,CAR,32675.0,0,4 YR USED,1.tov-Vehicle T4,54,3.0,845.67,21.109,846.16,24,2.0,5,1,0,0
Used Vehicle Loan,Dealer Purchase,3.0,43934.81,43934.81,APPROVED,P,TX,674.0,CAR,44175.0,0,3 YR USED,1.tov-Vehicle T3,66,12.0,1.0,16.217,818.56,300,25.0,5,1,0,0
Auto Refinance,Refinance,295.0,2188.69,2188.69,APPROVED,P,TX,670.0,CAR,25550.0,0,2 yr USED,1.tov-Vehicle T3,66,4.0,1.0,40.252,388.45,51,4.25,0,5,0,0
Auto Refinance,Refinance,884.37,8133.21,8133.21,APPROVED,P,TX,698.0,CAR,14825.0,0,6-10 YR USED,1.tov-Vehicle T4,36,4.0,278.63,6.131,279.49,12,1.0,0,5,0,0
New Vehicle Loan,Dealer Purchase,3.0,4596.66,0.0,APPROVED,P,TX,676.0,CAR,48600.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,3.0,1.0,49.375,0.0,66,5.5,2,1,0,0
Auto Refinance,Refinance,24.0,24549.66,24549.66,APPROVED,P,TX,687.0,CAR,21240.0,0,60 MO NEW,1.tov-Vehicle T3,66,4.0,1.0,32.135,445.53,120,10.0,0,5,0,0
Auto Refinance,Refinance,2.0,18633.77,18633.77,APPROVED,P,TX,771.0,CAR,21775.0,0,6-10 YR USED,1.tov-Vehicle T1,36,3.0,1.0,47.571,594.5,12,1.0,0,5,0,0
New Vehicle Loan,Refinance,32.0,33962.8,33962.8,APPROVED,P,TX,704.0,CAR,43150.0,0,2 YR USED,1.tov-Vehicle T2,66,3.0,1.0,33.311,603.79,362,30.17,2,5,0,0
Auto Refinance,Refinance,125.0,12836.23,12836.23,APPROVED,P,TX,726.0,CAR,26500.0,0,6-10 YR USED,1.tov-Vehicle T2,36,7.0,2.0,33.52,414.56,66,5.5,0,5,0,0
Auto Refinance,Refinance,21412.2,2152.5,2152.5,APPROVED,P,TX,762.0,CAR,31125.0,0,4 YR USED,1.tov-Vehicle T1,54,5.0,2.0,49.472,444.43,336,28.0,0,5,0,0
Auto Refinance,Refinance,3.0,27583.72,27583.72,APPROVED,P,TX,736.0,CAR,35025.0,0,4 YR USED,1.tov-Vehicle T2,54,4.0,2.0,49.089,589.44,60,5.0,0,5,0,0
Auto Refinance,Refinance,33.0,2954.24,2954.24,APPROVED,P,TX,659.0,CAR,36125.0,0,1 YR USED/REFI 60 MO,1.tov-Vehicle T3,66,7.0,2.0,27.836,530.04,102,8.5,0,5,0,0
Other Secured Loan,Refinance,8.0,6.0,6.0,APPROVED,P,TX,694.0,CAR,16375.0,0,TOKEN COLLATERAL,1.tov-Vehicle T1,30,11.0,1.0,15.885,234.22,432,36.0,3,5,0,0
Auto Refinance,Refinance,15.0,7843.88,12843.88,APPROVED,P,TX,747.0,CAR,36475.0,0,1 YR USED/REFI 60 MO,1.tov-Vehicle T2,36,4.0,1.0,40.237,223.68,18,1.5,0,5,0,0
Auto Refinance,Refinance,45.0,44458.8,44458.8,APPROVED,P,TX,703.0,CAR,40700.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T2,72,5.0,1.0,17.526,727.74,312,26.0,0,5,0,0
Auto Refinance,Refinance,41.0,42572.55,42572.55,APPROVED,P,TX,664.0,CAR,39200.0,0,2 YR USED,1.tov-Vehicle T3,66,4.0,929.93,20.216,778.54,21,1.75,0,5,0,0
Used Vehicle Loan,Refinance,29.0,29178.86,29178.86,APPROVED,P,TX,646.0,CAR,35750.0,0,4 YR USED,1.tov-Vehicle T3,54,6.0,1.0,26.422,644.85,118,9.83,5,5,0,0
Used Vehicle Loan,Dealer Purchase,43991.0,43991.83,43991.83,APPROVED,P,TX,654.0,CAR,38075.0,0,4 YR USED,1.tov-Vehicle T3,54,6.0,1.0,23.968,976.27,36,3.0,5,1,0,0
Used Vehicle Loan,Dealer Purchase,47875.0,461.0,461.0,APPROVED,P,TX,632.0,CAR,39450.0,0,4 YR USED,1.tov-Vehicle T3,54,5.0,2.0,36.537,1023.03,72,6.0,5,1,0,0
Auto Refinance,Dealer Purchase,23285.89,333.0,333.0,APPROVED,P,TX,0.0,CAR,27325.0,0,2 YR USED,1.tov-Vehicle T2,66,10.0,616.57,5.817,592.02,36,3.0,0,1,0,0
Auto Refinance,Refinance,2.0,25372.25,25252.36,APPROVED,P,TX,674.0,CAR,22200.0,0,4 YR USED,1.tov-Vehicle T3,54,3.0,1.0,37.38,558.15,12,1.0,0,5,0,0
Auto Refinance,Refinance,23.0,22126.7,22126.7,APPROVED,P,AZ,729.0,CAR,30050.0,0,2 YR USED,1.tov-Vehicle T2,66,4.0,1.0,25.402,390.85,120,10.0,0,5,0,0
Auto Refinance,Refinance,16.0,15645.91,15645.91,APPROVED,P,TX,763.0,CAR,23675.0,0,4 YR USED,1.tov-Vehicle T1,54,5.0,1.0,35.93,327.51,126,10.5,0,5,0,0
Auto Refinance,Refinance,28.0,293.47,293.47,APPROVED,P,AZ,800.0,CAR,36750.0,0,5 YR USED,1.tov-Vehicle T1,48,8.0,3.0,40.201,694.21,152,12.67,0,5,0,0
Auto Refinance,Refinance,16.0,15271.27,15271.27,APPROVED,P,TX,644.0,CAR,19100.0,0,4 YR USED,1.tov-Vehicle T3,54,13.0,1.0,12.002,337.76,64,5.33,0,5,0,0
Auto Refinance,Refinance,2.0,2178.1,2178.1,APPROVED,P,TX,692.0,CAR,29425.0,0,1 YR USED/REFI 60 MO,1.tov-Vehicle T4,66,3.0,390.45,10.898,305.73,120,10.0,0,5,0,0
Auto Refinance,Refinance,37761.22,3891.79,3891.79,APPROVED,P,TX,695.0,CAR,41750.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,3.0,866.06,28.871,651.55,191,15.92,0,5,0,0
Used Vehicle Loan,Refinance,48.0,4635.0,4635.0,APPROVED,P,TX,723.0,CAR,46350.0,0,6-10 YR USED,1.tov-Vehicle T2,36,15.0,5.0,35.89,1494.8,14,1.17,5,5,0,0
Auto Refinance,Refinance,4.0,44814.62,44814.62,APPROVED,P,TX,646.0,CAR,47950.0,0,2 YR USED,1.tov-Vehicle T3,66,3.0,824.58,25.768,825.04,48,4.0,0,5,0,0
Auto Refinance,Refinance,1411.0,14341.32,14341.32,APPROVED,P,TX,640.0,CAR,21425.0,0,3 YR USED,1.tov-Vehicle T3,66,4.0,1.0,47.668,267.19,31,2.58,0,5,0,0
Other Secured Loan,Refinance,2.0,23.5,23.5,APPROVED,P,TX,632.0,CAR,8350.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,1.0,887.76,48.39,80.75,60,5.0,3,5,0,0
Auto Refinance,Refinance,29717.56,3211.59,3211.59,APPROVED,P,TX,621.0,CAR,28850.0,0,4 YR USED,1.tov-Vehicle T3,54,8.0,3.0,39.002,671.38,15,1.25,0,5,0,0
Auto Refinance,Refinance,15.0,14941.63,14941.63,APPROVED,P,AZ,687.0,CAR,27400.0,0,2 YR USED,1.tov-Vehicle T3,52,4.0,1.0,40.743,334.55,240,20.0,0,5,0,0
Auto Refinance,Refinance,26953.84,26996.64,0.0,APPROVED,P,TX,751.0,CAR,36625.0,0,2 YR USED,1.tov-Vehicle T4,60,4.0,1.0,34.354,0.0,264,22.0,0,5,0,0
Auto Refinance,Refinance,5.0,54482.3,54482.3,APPROVED,P,TX,749.0,CAR,49075.0,0,2 YR USED,1.tov-Vehicle T2,66,4.0,1.0,22.046,968.32,126,10.5,0,5,0,0
Auto Refinance,Refinance,24.0,2445.72,2445.72,APPROVED,P,TX,623.0,CAR,27075.0,0,4 YR USED,1.tov-Vehicle T3,54,3.0,1.0,31.63,544.89,12,1.0,0,5,0,0
Auto Refinance,Refinance,7167.59,6925.67,6925.67,APPROVED,P,TX,721.0,CAR,21000.0,0,3 YR USED,1.tov-Vehicle T2,48,6.0,1.0,18.578,163.85,36,3.0,0,5,0,0
Other Secured Loan,Refinance,25.0,2533.0,2533.0,APPROVED,P,TX,628.0,CAR,3338.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,3.0,403.76,13.237,100.74,25,2.08,3,5,0,0
Auto Refinance,Refinance,2734.19,2777.5,2777.5,APPROVED,P,TX,826.0,CAR,36475.0,0,5 YR USED,1.tov-Vehicle T1,30,680.0,141.9,20.868,102.81,180,15.0,0,5,0,0
Auto Refinance,Refinance,11.0,11.34,11.34,APPROVED,P,TX,720.0,CAR,20850.0,0,4 YR USED,1.tov-Vehicle T4,54,2.0,323.05,14.047,258.68,45,3.75,0,5,0,0
Auto Refinance,Refinance,28.0,28456.47,28456.47,APPROVED,P,TX,726.0,CAR,45400.0,0,1 YR USED/REFI 60 MO,1.tov-Vehicle T4,66,3.0,557.26,15.32,557.74,48,4.0,0,5,0,0
Auto Refinance,Refinance,2674.95,26793.36,26793.36,APPROVED,P,NM,718.0,CAR,29225.0,0,2 YR USED,1.tov-Vehicle T3,66,7.0,2.0,25.796,473.84,72,6.0,0,5,0,0
Used Vehicle Loan,Private Party Purchase,2.0,1952.89,1952.89,APPROVED,P,TX,669.0,CAR,25000.0,0,6-10 YR USED,1.tov-Vehicle T3,36,5.0,2.0,41.663,647.05,10,0.83,5,3,0,0
Auto Refinance,Refinance,125.0,1216.58,1216.58,APPROVED,P,TX,760.0,CAR,22475.0,0,4 YR USED,1.tov-Vehicle T1,54,4.0,973.85,22.915,258.4,114,9.5,0,5,0,0
Auto Refinance,Refinance,29.0,27386.4,27386.4,APPROVED,P,TX,727.0,CAR,35950.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T2,72,5.0,1.0,27.823,449.06,42,3.5,0,5,0,0
Used Vehicle Loan,Purchase-Other,12.0,12936.72,0.0,APPROVED,P,TX,687.0,CAR,16700.0,0,6-10 YR USED,1.tov-Vehicle T3,36,10.0,1.0,15.779,0.0,36,3.0,5,4,0,0
Auto Refinance,Refinance,1938.77,19195.79,19195.79,APPROVED,P,TX,773.0,CAR,23950.0,0,6-10 YR USED,1.tov-Vehicle T1,36,4.0,1.0,43.394,616.68,84,7.0,0,5,0,0
Auto Refinance,Refinance,36861.75,28362.92,28362.92,APPROVED,P,TX,676.0,CAR,25650.0,0,3 YR USED,1.tov-Vehicle T3,66,3.0,1.0,34.209,528.66,12,1.0,0,5,0,0
Auto Refinance,Refinance,38717.1,3962.69,3962.69,APPROVED,P,TX,722.0,CAR,41275.0,0,2 YR USED,1.tov-Vehicle T2,66,4.0,1.0,42.1,719.2,63,5.25,0,5,0,0
Auto Refinance,Refinance,4428.75,4541.55,4541.55,APPROVED,P,TX,804.0,CAR,46750.0,0,4 YR USED,1.tov-Vehicle T1,54,10.0,1.0,14.088,860.22,180,15.0,0,5,0,0
Auto Refinance,Refinance,24988.21,257.56,257.56,APPROVED,P,TX,804.0,CAR,39775.0,0,3 YR USED,1.tov-Vehicle T1,66,10.0,1.0,13.471,442.2,180,15.0,0,5,0,0
Used Vehicle Loan,Dealer Purchase,32.0,31612.24,31612.24,APPROVED,P,TX,679.0,CAR,34225.0,0,5 YR USED,1.tov-Vehicle T3,48,4.0,1.0,42.624,798.67,60,5.0,5,1,0,0
Auto Refinance,Refinance,48.0,49464.7,49464.7,APPROVED,P,TX,788.0,CAR,49200.0,0,2 YR USED,1.tov-Vehicle T1,66,7.0,2.0,32.324,856.66,204,17.0,0,5,0,0
Other Secured Loan,Refinance,3.0,35.0,35.0,DECLINED,P,NM,0.0,CAR,4425.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,6.0,1.0,20.074,119.41,24,2.0,3,5,1,0
Auto Refinance,Refinance,34.0,36132.98,34.0,APPROVED,P,TX,650.0,CAR,35725.0,0,3 YR USED,1.tov-Vehicle T3,66,5.0,1.0,31.913,637.03,25,2.08,0,5,0,0
Auto Refinance,Refinance,34.0,35417.57,35417.57,APPROVED,P,TX,729.0,CAR,46425.0,0,4 YR USED,1.tov-Vehicle T2,54,5.0,1.0,36.026,760.97,96,8.0,0,5,0,0
Other Secured Loan,Refinance,5.0,3465.0,3465.0,APPROVED,P,TX,643.0,CAR,1965.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,2.0,461.58,19.461,141.6,12,1.0,3,5,0,0
Auto Refinance,Refinance,262.0,26124.63,26124.63,APPROVED,P,NM,762.0,CAR,29525.0,0,2 YR USED,1.tov-Vehicle T1,66,5.0,1.0,26.485,452.65,66,5.5,0,5,0,0
Auto Refinance,Refinance,3866.32,3988.49,3988.49,APPROVED,P,TX,626.0,CAR,29500.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,7.0,2.0,32.206,530.9,36,3.0,0,5,0,0
Auto Refinance,Refinance,18278.15,1911.1,1911.1,APPROVED,P,NM,729.0,CAR,27775.0,0,4 YR USED,1.tov-Vehicle T2,54,2.0,804.96,37.738,412.5,12,1.0,0,5,0,0
Auto Refinance,Refinance,48718.95,48746.95,48746.95,APPROVED,P,TX,733.0,CAR,46950.0,0,3 YR USED,1.tov-Vehicle T3,66,8.0,1.0,13.775,908.17,144,12.0,0,5,0,0
Used Vehicle Loan,Purchase-Other,36.0,3456.41,0.0,APPROVED,P,TX,638.0,CAR,16000.0,0,6-10 YR USED,1.tov-Vehicle T3,30,3.0,955.0,29.308,0.0,60,5.0,5,4,0,0
New Vehicle Loan,Purchase-Other,39225.0,39225.0,0.0,DECLINED,P,TX,698.0,CAR,39225.0,0,5 YR USED,1.tov-Vehicle T3,48,9.0,1.0,16.913,0.0,84,7.0,2,4,1,0
Auto Refinance,Refinance,28.0,28192.64,28192.64,APPROVED,P,AZ,700.0,CAR,32175.0,0,5 YR USED,1.tov-Vehicle T2,48,5.0,1.0,29.66,691.34,48,4.0,0,5,0,0
Used Vehicle Loan,Private Party Purchase,6.0,392.0,392.0,APPROVED,P,AZ,641.0,CAR,2420.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,24,4.0,940.46,19.138,187.43,168,14.0,5,3,0,0
New Vehicle Loan,Dealer Purchase,55646.57,551.0,551.0,APPROVED,P,TX,671.0,CAR,47100.0,0,3 YR USED,1.tov-Vehicle T3,66,5.0,2.0,35.993,1032.07,73,6.08,2,1,0,0
Used Vehicle Loan,Dealer Purchase,1.0,37549.3,0.0,APPROVED,P,TX,673.0,CAR,40230.0,0,4 YR USED,1.tov-Vehicle T3,54,3.0,1.0,42.155,0.0,148,12.33,5,1,0,0
New Vehicle Loan,Dealer Purchase,25.0,23584.2,23584.2,APPROVED,P,AZ,636.0,CAR,24350.0,0,2 YR USED,1.tov-Vehicle T3,66,4.0,1.0,37.528,434.36,101,8.42,2,1,0,0
Auto Refinance,Refinance,471.6,4738.37,4738.37,APPROVED,P,TX,639.0,CAR,5900.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,3.0,1.0,30.544,187.72,12,1.0,0,5,0,0
New Vehicle Loan,Purchase-Other,5.0,51399.75,51399.75,APPROVED,P,TX,717.0,CAR,46790.0,0,72 MO NEW,1.tov-Vehicle T2,72,7.0,2.0,33.891,838.39,60,5.0,2,4,0,0
New Vehicle Loan,Dealer Purchase,25.0,26766.16,26766.16,APPROVED,P,TX,789.0,CAR,25475.0,0,3 YR USED,1.tov-Vehicle T1,66,7.0,1.0,19.651,469.5,12,1.0,2,1,0,0
Auto Refinance,Refinance,64589.0,64842.31,64842.31,APPROVED,P,TX,700.0,CAR,64425.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T2,72,15.0,3.0,21.326,1062.76,420,35.0,0,5,0,0
Auto Refinance,Refinance,27.0,27299.83,27299.83,APPROVED,P,TX,715.0,CAR,25750.0,0,1 YR USED/REFI 60 MO,1.tov-Vehicle T4,66,5.0,2.0,43.256,531.81,12,1.0,0,5,0,0
Auto Refinance,Refinance,22.0,21838.44,21838.44,APPROVED,P,AR,666.0,CAR,26925.0,0,2 YR USED,1.tov-Vehicle T3,66,1.0,468.78,24.003,401.82,21,1.75,0,5,0,0
Auto Refinance,Refinance,14567.61,146.61,0.0,APPROVED,P,TX,700.0,CAR,27050.0,0,4 YR USED,1.tov-Vehicle T2,54,2.0,446.9,15.115,0.0,192,16.0,0,5,0,0
New Vehicle Loan,Dealer Purchase,4563.0,5267.46,0.0,APPROVED,P,TX,637.0,CAR,45190.0,0,72 MO NEW,1.tov-Vehicle T3,72,6.0,2.0,37.537,0.0,24,2.0,2,1,0,0
Auto Refinance,Refinance,24.0,23135.84,23135.84,APPROVED,P,TX,743.0,CAR,26300.0,0,6-10 YR USED,1.tov-Vehicle T3,36,4.0,793.35,19.213,768.35,26,2.17,0,5,0,0
Other Secured Loan,Refinance,6.0,633.0,633.0,APPROVED,P,TX,664.0,CAR,31275.0,0,4 YR USED,1.tov-Vehicle T3,36,2.0,279.97,12.938,190.76,12,1.0,3,5,0,0
Auto Refinance,Refinance,165.0,16928.35,16928.35,APPROVED,P,TX,695.0,CAR,20825.0,0,4 YR USED,1.tov-Vehicle T3,54,5.0,997.56,19.15,378.12,300,25.0,0,5,0,0
Auto Refinance,Refinance,39142.88,3917.88,0.0,APPROVED,P,TX,715.0,CAR,47650.0,0,3 YR USED,1.tov-Vehicle T3,66,10.0,4.0,39.763,0.0,36,3.0,0,5,0,0
Auto Refinance,Refinance,14426.3,1443.3,0.0,DECLINED,P,AZ,725.0,CAR,18250.0,0,6-10 YR USED,1.tov-Vehicle T2,36,3.0,466.93,13.666,0.0,48,4.0,0,5,1,0
Auto Refinance,Refinance,438.85,448.85,448.85,APPROVED,P,TX,762.0,CAR,38825.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T1,72,8.0,3.0,45.85,647.83,120,10.0,0,5,0,0
Auto Refinance,Refinance,2.0,28887.8,28887.8,APPROVED,P,TX,760.0,CAR,28275.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T1,72,5.0,2.0,35.801,466.06,36,3.0,0,5,0,0
Auto Refinance,Refinance,11219.35,11288.36,11288.36,APPROVED,P,AZ,728.0,CAR,19250.0,0,3 YR USED,1.tov-Vehicle T2,60,4.0,313.0,6.9,219.48,60,5.0,0,5,0,0
Auto Refinance,Refinance,42.0,2326.29,2326.29,APPROVED,P,TX,690.0,CAR,21350.0,0,3 YR USED,1.tov-Vehicle T4,66,2.0,458.04,18.953,458.54,24,2.0,0,5,0,0
Auto Refinance,Refinance,39648.78,447.3,447.3,APPROVED,P,TX,686.0,CAR,34590.0,0,72 MO NEW,1.tov-Vehicle T3,72,4.0,1.0,36.02,690.2,72,6.0,0,5,0,0
Auto Refinance,Refinance,19156.47,18629.49,18629.49,APPROVED,P,TX,724.0,CAR,29225.0,0,3 YR USED,1.tov-Vehicle T2,38,4.0,859.65,19.838,539.71,48,4.0,0,5,0,0
Used Vehicle Loan,Purchase-Other,75.0,81188.62,81188.62,APPROVED,P,TX,714.0,CAR,74275.0,0,3 YR USED,1.tov-Vehicle T2,66,10.0,3.0,30.614,1452.13,102,8.5,5,4,0,0
Auto Refinance,Refinance,11111.3,11144.3,0.0,APPROVED,P,TX,744.0,CAR,16725.0,0,5 YR USED,1.tov-Vehicle T2,48,3.0,1.0,38.968,0.0,84,7.0,0,5,0,0
