BranchID,Application_Date,Loan_SubType,Loan_Purpose,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Declined Date,Deciding Date,Approved Date,Funded Date,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Denial Reasons
824,6/2/2022,Auto Refinance,VEHICLE,Refinance,32,32628.16,32628.16,APPROVED,6/2/2022,6/6/2022,6/6/2022,,P,TX,762,CAR,25300,0,2 YR USED,1.tov-Vehicle T1,66,7,2,40.142,560.93,60,5,Income insufficient for amount of credit requested
655,6/2/2022,Used Vehicle Loan,VEHICLE,Bills,3,175,175,APPROVED,,6/3/2022,6/3/2022,,P,TX,684,CAR,1750,0,TOKEN COLLATERAL,1.tov-Vehicle T3,18,1,337.45,33.638,83.45,12,1,
589,6/2/2022,Auto Refinance,VEHICLE,Refinance,6,5739.25,5739.25,APPROVED,,6/3/2022,6/3/2022,,P,TX,628,CAR,8375,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,2,966.44,48.322,225.44,24,2,
103,6/2/2022,Auto Refinance,VEHICLE,Refinance,4974.55,43571.5,,APPROVED,,6/3/2022,6/3/2022,,P,TX,669,CAR,40425,0,2 YR USED,1.tov-Vehicle T3,66,6,1,20.304,0,18,1.5,
103,6/2/2022,Auto Refinance,VEHICLE,Refinance,162.69,1632.39,1632.39,APPROVED,,6/3/2022,6/3/2022,,P,TX,828,CAR,19750,0,4 YR USED,1.tov-Vehicle T1,54,1,377.18,27.531,223.18,12,1,
658,6/2/2022,Used Vehicle Loan,VEHICLE,Purchase-Other,1,2985.75,2985.75,APPROVED,,6/9/2022,6/9/2022,,P,TX,683,CAR,25475,0,3 YR USED,1.tov-Vehicle T3,66,1,613.37,39.319,551.37,72,6,
881,6/2/2022,Auto Refinance,VEHICLE,Refinance,53,53377.52,53377.52,APPROVED,,6/9/2022,6/9/2022,,P,TX,699,CAR,84895,0,72 MO NEW,1.tov-Vehicle T3,72,6,2,38.197,908.44,48,4,
619,6/2/2022,Used Vehicle Loan,VEHICLE,Purchase-Other,1843.78,1785,1785,APPROVED,,6/2/2022,6/2/2022,,P,TX,680,CAR,17850,0,5 yr USED,1.tov-Vehicle T3,48,4,656.61,13.623,446.61,33,2.75,
546,6/2/2022,Auto Refinance,VEHICLE,Refinance,31344.9,31582.2,31582.2,APPROVED,6/3/2022,6/3/2022,6/3/2022,6/3/2022,C,TX,723,CAR,31325,0,2 YR USED,,66,5,1,30.726,554.66,36,3,
546,6/2/2022,Auto Refinance,VEHICLE,Refinance,31344.9,31582.2,31582.2,APPROVED,6/3/2022,6/3/2022,6/3/2022,6/3/2022,P,TX,N/A,CAR,31325,0,2 YR USED,1.tov-Vehicle T2,66,5,1,30.726,554.66,24,2,
