timestamp,coin,price
Mon-08-18-2025 12:27:48,DOGE-USD,0.22376
Mon-08-18-2025 12:27:48,CRO-USD,0.14745
Mon-08-18-2025 12:27:48,VET-USD,0.023845
Mon-08-18-2025 12:27:49,PENGU-USD,0.031845
Mon-08-18-2025 12:27:49,TURBO-USD,0.0042605
Mon-08-18-2025 12:27:49,XRP-USD,3.0416

Mon-08-18-2025 12:27:58,BTC-USD,116599.995
Mon-08-18-2025 12:27:58,ETH-USD,4351.6
Mon-08-18-2025 12:27:58,SOL-USD,184.46
Mon-08-18-2025 12:27:58,TOSHI-USD,0.0006722
Mon-08-18-2025 12:27:59,DOGE-USD,0.22376
Mon-08-18-2025 12:27:59,CRO-USD,0.14745
Mon-08-18-2025 12:27:59,VET-USD,0.023845
Mon-08-18-2025 12:27:59,PENGU-USD,0.031855
Mon-08-18-2025 12:27:59,TURBO-USD,0.004262
Mon-08-18-2025 12:28:00,XRP-USD,3.04265

Mon-08-18-2025 12:28:09,BTC-USD,116654.325
Mon-08-18-2025 12:28:09,ETH-USD,4354.46
Mon-08-18-2025 12:28:09,SOL-USD,184.46
Mon-08-18-2025 12:28:09,TOSHI-USD,0.0006728
Mon-08-18-2025 12:28:09,DOGE-USD,0.22389
Mon-08-18-2025 12:28:09,CRO-USD,0.14745
Mon-08-18-2025 12:28:09,VET-USD,0.023875
Mon-08-18-2025 12:28:10,PENGU-USD,0.03184
Mon-08-18-2025 12:28:10,TURBO-USD,0.004264
Mon-08-18-2025 12:28:10,XRP-USD,3.04245

Mon-08-18-2025 12:28:19,BTC-USD,116660.355
Mon-08-18-2025 12:28:19,ETH-USD,4355.135
Mon-08-18-2025 12:28:20,SOL-USD,184.465
Mon-08-18-2025 12:28:20,TOSHI-USD,0.0006728
Mon-08-18-2025 12:28:20,DOGE-USD,0.22389
Mon-08-18-2025 12:28:20,CRO-USD,0.14745
Mon-08-18-2025 12:28:20,VET-USD,0.02387
Mon-08-18-2025 12:28:21,PENGU-USD,0.03187
Mon-08-18-2025 12:28:21,TURBO-USD,0.004264
Mon-08-18-2025 12:28:21,XRP-USD,3.04405

Mon-08-18-2025 12:28:30,BTC-USD,116660.355
Mon-08-18-2025 12:28:30,ETH-USD,4355.625
Mon-08-18-2025 12:28:31,SOL-USD,184.525
Mon-08-18-2025 12:28:31,TOSHI-USD,0.0006728
Mon-08-18-2025 12:28:31,DOGE-USD,0.224105
Mon-08-18-2025 12:28:31,CRO-USD,0.1475
Mon-08-18-2025 12:28:31,VET-USD,0.02389
Mon-08-18-2025 12:28:32,PENGU-USD,0.03187
Mon-08-18-2025 12:28:32,TURBO-USD,0.004264
Mon-08-18-2025 12:28:32,XRP-USD,3.04765

Mon-08-18-2025 12:28:41,BTC-USD,116693.165
Mon-08-18-2025 12:28:41,ETH-USD,4357.315
Mon-08-18-2025 12:28:41,SOL-USD,184.6
Mon-08-18-2025 12:28:42,TOSHI-USD,0.00067325
Mon-08-18-2025 12:28:42,DOGE-USD,0.22412
Mon-08-18-2025 12:28:42,CRO-USD,0.1475
Mon-08-18-2025 12:28:42,VET-USD,0.02389
Mon-08-18-2025 12:28:42,PENGU-USD,0.031895
Mon-08-18-2025 12:28:42,TURBO-USD,0.004266
Mon-08-18-2025 12:28:43,XRP-USD,3.04405

Mon-08-18-2025 12:28:52,BTC-USD,116725.895
Mon-08-18-2025 12:28:52,ETH-USD,4358.945
Mon-08-18-2025 12:28:52,SOL-USD,184.615
Mon-08-18-2025 12:28:52,TOSHI-USD,0.00067325
Mon-08-18-2025 12:28:52,DOGE-USD,0.22412
Mon-08-18-2025 12:28:53,CRO-USD,0.1475
Mon-08-18-2025 12:28:53,VET-USD,0.02389
Mon-08-18-2025 12:28:53,PENGU-USD,0.031895
Mon-08-18-2025 12:28:53,TURBO-USD,0.004266
Mon-08-18-2025 12:28:54,XRP-USD,3.04955

Mon-08-18-2025 12:29:03,BTC-USD,116727.885
Mon-08-18-2025 12:29:03,ETH-USD,4358.945
Mon-08-18-2025 12:29:03,SOL-USD,184.615
Mon-08-18-2025 12:29:03,TOSHI-USD,0.0006735
Mon-08-18-2025 12:29:03,DOGE-USD,0.22413
Mon-08-18-2025 12:29:04,CRO-USD,0.1476
Mon-08-18-2025 12:29:04,VET-USD,0.02389
Mon-08-18-2025 12:29:04,PENGU-USD,0.03189
Mon-08-18-2025 12:29:04,TURBO-USD,0.004266
Mon-08-18-2025 12:29:04,XRP-USD,3.04955

